Data source,Ecoinvent process OR other names,Unit,Reference quantity,,"cumulative energy demand:biomass:renewable energy resources, biomass","cumulative energy demand:fossil:non-renewable energy resources, fossil","cumulative energy demand:geothermal:renewable energy resources, geothermal, converted","cumulative energy demand:nuclear:non-renewable energy resources, nuclear","cumulative energy demand:primary forest:non-renewable energy resources, primary forest","cumulative energy demand:solar:renewable energy resources, solar, converted","cumulative energy demand:water:renewable energy resources, potential (in barrage water), converted","cumulative energy demand:wind:renewable energy resources, kinetic (in wind), converted","cumulative energy demand:renewable:total renewables (wind, solar, water, geothermal, biomass)","cumulative energy demand:non-renewable:total non-renewables (fossil, nuclear, primary forest)",IPCC 2013:climate change:GWP 100a,ReCiPe Midpoint (H) V1.13:agricultural land occupation:ALOP,ReCiPe Midpoint (H) V1.13:climate change:GWP100,ReCiPe Midpoint (H) V1.13:fossil depletion:FDP,ReCiPe Midpoint (H) V1.13:freshwater ecotoxicity:FETPinf,ReCiPe Midpoint (H) V1.13:freshwater eutrophication:FEP,ReCiPe Midpoint (H) V1.13:human toxicity:HTPinf,ReCiPe Midpoint (H) V1.13:ionising radiation:IRP_HE,ReCiPe Midpoint (H) V1.13:marine ecotoxicity:METPinf,ReCiPe Midpoint (H) V1.13:marine eutrophication:MEP,ReCiPe Midpoint (H) V1.13:metal depletion:MDP,ReCiPe Midpoint (H) V1.13:natural land transformation:NLTP,ReCiPe Midpoint (H) V1.13:ozone depletion:ODPinf,ReCiPe Midpoint (H) V1.13:particulate matter formation:PMFP,ReCiPe Midpoint (H) V1.13:photochemical oxidant formation:POFP,ReCiPe Midpoint (H) V1.13:terrestrial acidification:TAP100,ReCiPe Midpoint (H) V1.13:terrestrial ecotoxicity:TETPinf,ReCiPe Midpoint (H) V1.13:urban land occupation:ULOP,ReCiPe Midpoint (H) V1.13:water depletion:WDP,CML 2001 (obsolete):land use:competition
,,,,,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,MJ-Eq,kg CO2-Eq,m2a,kg CO2-Eq,kg oil-Eq,"kg 1,4-DC.",kg P-Eq,"kg 1,4-DC.",kg U235-Eq,"kg 1,4-DB.",kg N-Eq,kg Fe-Eq,m2,kg CFC-11.,kg PM10-Eq,kg NMVOC-.,kg SO2-Eq,"kg 1,4-DC.",m2a,m3 water-.,m2a
RIVM_2016,"Tonijn in blik, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,18.7,0.097,18.7,,,7.62E-03,,,,4.32E-04,,,,,,0.136,,,0.102,
RIVM_2016,"Pangasiusfilet, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,15.8,10.2,15.8,,,4.21E-02,,,,1.45E-03,,,,,,0.098,,,0.0931,
RIVM_2016,"Koolvis, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,9.62,1.81,9.62,,,8.53E-03,,,,3.42E-04,,,,,,0.0641,,,0.0269,
RIVM_2016,"Lekkerbek, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,8.6,6.21,8.6,,,2.05E-02,,,,7.92E-04,,,,,,0.0618,,,0.0407,
RIVM_2016,"Kabeljauwfilet, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,7.44,1.81,7.44,,,7.48E-03,,,,3.29E-04,,,,,,0.0463,,,0.0232,
RIVM_2016,"Zalm, kweek, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,7.7,4.23,7.7,,,2.32E-02,,,,8.74E-04,,,,,,0.0464,,,0.0375,
RIVM_2016,"Zalm, wild, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,5.16,1.8,5.16,,,1.12E-02,,,,4.36E-04,,,,,,0.0347,,,0.0178,
RIVM_2016,"Haring, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,2.9,0.0577,2.9,,,5.08E-03,,,,1.59E-04,,,,,,0.0116,,,0.0125,
RIVM_2016,"Boter (alle), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,13.2,9.03,13.2,,,1.33E-01,,,,1.97E-03,,,,,,0.319,,,0.0897,
RIVM_2016,"Amsterdammer 48+, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,10.5,6.99,10.5,,,1.03E-01,,,,1.53E-03,,,,,,0.247,,,0.0697,
RIVM_2016,"Goudse 48+, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,10.5,6.99,10.5,,,1.03E-01,,,,1.53E-03,,,,,,0.247,,,0.0697,
RIVM_2016,"Edammer 40+, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,8.87,5.85,8.87,,,8.61E-02,,,,1.28E-03,,,,,,0.207,,,0.0584,
RIVM_2016,"Kaas 20+, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,8.4,5.52,8.4,,,8.13E-02,,,,1.21E-03,,,,,,0.195,,,0.0552,
RIVM_2016,"Geitenkaas, vers, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,7.73,7.52,7.73,,,7.49E-02,,,,1.55E-03,,,,,,0.17,,,0.0983,
RIVM_2016,"Kwark (v), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,4.35,2.28,4.35,,,3.35E-02,,,,5.09E-04,,,,,,0.0817,,,0.0245,
RIVM_2016,"IJs, room-/vanille-, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,4.17,2.06,4.17,,,2.92E-02,,,,4.47E-04,,,,,,0.0712,,,0.0222,
RIVM_2016,"Optimel, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,2.99,2.01,2.99,,,2.04E-02,,,,3.23E-04,,,,,,0.0432,,,0.016,
RIVM_2016,"Vla, vanille- (v), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.97,1.04,1.97,,,1.16E-02,,,,1.79E-04,,,,,,0.0285,,,0.0126,
RIVM_2016,"Vla, overige smaken (v), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.94,1.16,1.94,,,1.15E-02,,,,2.04E-04,,,,,,0.028,,,0.0138,
RIVM_2016,"Yoghurt (v), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,2.07,1.19,2.07,,,1.43E-02,,,,2.14E-04,,,,,,0.035,,,0.0122,
RIVM_2016,"Yoghurt (hv), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,2.02,1.16,2.02,,,1.38E-02,,,,2.07E-04,,,,,,0.0338,,,0.0119,
RIVM_2016,"Yoghurt (m), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.97,1.12,1.97,,,1.33E-02,,,,1.99E-04,,,,,,0.0326,,,0.0115,
RIVM_2016,"Yoghurt, vruchten (m), [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.93,1.1,1.93,,,1.23E-02,,,,1.85E-04,,,,,,0.0288,,,0.0256,
RIVM_2016,"Karnemelk, [NL], ReCiPe, RIVM_2016",kg,1,,,,,,,,,,,,1.97,1.12,1.97,,,1.33E-02,,,,1.99E-04,,,,,,0.0326,,,0.0116,
